namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
JAKARTA PUSAT,Foto Ridwan.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17686,1,"H. RIDWAN ANDI WITTIRI, S.H.",Laki-Laki
KOTA MAKASSAR,Foto Prof. Abdul Razak.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,285393,2,"Prof. Dr. dr. ABDUL RAZAK THAHA, M.Sc",Laki-Laki
KOTA MAKASSAR,Foto Ulfa.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19056,3,"Dr. ULFAH MAWARDI, M.Pd",Perempuan
JAKARTA PUSAT,Foto Zainal Tahir.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296130,4,Drs. H. ZAINAL TAHIR,Laki-Laki
KOTA MAKASSAR,Foto Subhan Djaya.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,284432,5,"Dr. SUBHAN DJAYA M, S.IP, S.E, M.Si",Laki-Laki
KOTA MAKASSAR,Foto Golda.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,84545,6,"GOLDA TITING, S.Si",Perempuan
JAKARTA BARAT,Foto Abdul Razak.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296224,7,Ir. ABDUL RAZAK WAWO,Laki-Laki
KOTA MAKASSAR,Foto Asmaeni.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,140730,8,"Dr. HJ. ASMAENY AZIS, M.Si., M.H.",Perempuan
KOTA MAKASSAR,Niang.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17712,1,"Drs. H. SAMSU NIANG, M.Pd",Laki-Laki
KOTA MAKASSAR,Yagkin Padjalangi.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,286157,2,"Dr. H.A.M. YAGKIN PADJALANGI, APT., M.Kes",Laki-Laki
BARRU,Foto Citta.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,60632,3,ANDI CITTA MARIOGI,Perempuan
KOTA MAKASSAR,M. Sudirman.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,285764,4,"H. MUH. SUDIRMAN HR, S.E.",Laki-Laki
BULUKUMBA,Foto Husbiannas.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296263,5,"H. HUSBIANNAS ALSI, S.Sos",Laki-Laki
GOWA,Foto Rosmayanti.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17748,6,"ROSMAYANTI NAIM, S.Pd",Perempuan
JAKARTA UTARA,Foto Herman Opy .jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,286023,7,"HERMAN OPY SANDA, S.IP",Laki-Laki
KOTA MAKASSAR,Foto Rukayyah.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,285904,8,RUKKAYAH MALIK,Perempuan
JAKARTA SELATAN,Foto Sapri.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296033,9,"MUHAMMAD SAPRI PAMULU, Ph.D",Laki-Laki
JAKARTA SELATAN,Jacobus.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17802,1,JACOBUS K. MAYONG PADANG,Laki-Laki
LUWU TIMUR,Foto Sarce.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,120641,2,"SARCE BANDASO TANDIASIK, S.H.",Perempuan
JAKARTA TIMUR,Foto Edo.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17885,3,"Ir. EDWARD TANARI, M.Si",Laki-Laki
JAKARTA SELATAN,Foto Nuhung.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,289020,4,"Drs. NUHUNG SULEMAN, S.T, M.T.",Laki-Laki
KOTA MAKASSAR,Foto Abdullah.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296368,5,Ir. H.ABDULLAH TAPPARENG,Laki-Laki
SEMARANG,Foto Dyah Hayu K.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296390,6,DYAH HAYU KUMARAWATI,Perempuan
JAKARTA UTARA,Foto Paskaria.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296318,7,"PASKARIA TOMBI, S.H., M.H.",Perempuan
WAKATOBI,FOTO.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,38456,1,Ir. HUGUA,Laki-Laki
JAKARTA SELATAN,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,190066,2,MUHAMMAD OHEO SINAPOY,Laki-Laki
KOTA KENDARI,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,21981,3,"HJ. NIRNA LACHMUDDIN, S.Pd",Perempuan
JAKARTA BARAT,PHOTO 4X6.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,22087,4,FAJAR B.S. LASE,Laki-Laki
JAKARTA SELATAN,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,22009,5,MARIA MAGDALENA BLEGUR,Perempuan
BOGOR,FOTO 2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296066,6,"T.M. ERWIN USMAN, S.H.",Laki-Laki
KOTA GORONTALO,FOTO YUSUF PAKAYA.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,286990,1,YUSUF PAKAYA,Laki-Laki
JAKARTA SELATAN,4x6cm.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,287133,2,SUWIRYO ISMAIL,Laki-Laki
KOTA MEDAN,FOTO 4x6.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,286970,3,FAUZIAH EDDYONO,Perempuan
KOTA BEKASI,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,162354,1,"MARSDA TNI (PURN) MASMUN YAN MANGGESA, SE., MBA",Laki-Laki
MAMUJU UTARA,FOTO HERNY.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,17326,2,"HJ.HERNY AGUS AMBO DJIWA, S.Sos, M.Si",Perempuan
MAMUJU,ARWAN ARAS.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,27705,3,"H. ARWAN M. ARAS T, S. Kom",Laki-Laki
POLEWALI MANDAR,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296185,4,HJ. JUMRIAH,Perempuan
JAKARTA SELATAN,3. FOTO MERCY.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19940,1,"MERCY CHRIESTY BARENDS, S.T.",Perempuan
